Volume,Inks
3.00370369621e-05,"['V karol 0.04918261990.0568519942', 'Mv Caribbean 0.2212766260.22019729', 'Peach haze D0.1002408790.106591292', 'Platinum violet0.3862266540.463573724']"
2.9970271581e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'FWP blue cotton candy0.4129520650.567712903', 'KWZ turquoise 0.1805804220.160459518']"
2.99583020267e-05,"['KWZ turquoise 0.1805804220.160459518', 'H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292', 'Platinum violet0.3862266540.463573724']"
2.99538829611e-05,"['Lamy red0.3185556230.394874483', 'Mv Caribbean 0.2212766260.22019729', 'Noodlers Firefly0.09293186660.105642691', 'Platinum violet0.3862266540.463573724']"
2.99435679635e-05,"['Lamy red0.3185556230.394874483', 'Vd parrot fish0.3563603460.422013313', 'Rose cyclamen H0.3078682120.344650418', 'Kaweco green0.04393515740.0426193513']"
2.99103646816e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'Vd parrot fish0.3563603460.422013313', 'Platinum violet0.3862266540.463573724']"
2.98983841228e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'R torquay0.2532790010.285446346', 'O blue iris0.419206470.58768481']"
2.98874145742e-05,"['Lamy red0.3185556230.394874483', 'FWP blue cotton candy0.4129520650.567712903', 'Kaweco green0.04393515740.0426193513', 'Platinum violet0.3862266540.463573724']"
2.98643803802e-05,"['Lamy crystal beryl0.3172305520.38562575', 'FWP blue cotton candy0.4129520650.567712903', 'Peach haze D0.1002408790.106591292', 'Inkbara cyan0.2017007770.208343148']"
2.98575437732e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'Mv Caribbean 0.2212766260.22019729', 'Noodlers Firefly0.09293186660.105642691']"
2.98547129354e-05,"['Lamy red0.3185556230.394874483', 'Mg sapphire0.1194242240.106027357', 'H Bleu Azur0.5106806760.636918247', 'Rose cyclamen H0.3078682120.344650418']"
2.98080479388e-05,"['Lamy red0.3185556230.394874483', 'O puppy pods0.3781083820.439187646', 'Kaweco green0.04393515740.0426193513', 'Platinum violet0.3862266540.463573724']"
2.9800604873e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'R torquay0.2532790010.285446346', 'Platinum violet0.3862266540.463573724']"
2.97659239719e-05,"['Iwi frost descent0.1077070610.105629526', 'Lamy crystal beryl0.3172305520.38562575', 'H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292']"
2.97585636851e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'Mg sapphire0.1194242240.106027357', 'FWP blue cotton candy0.4129520650.567712903']"
2.96938879566e-05,"['Lamy crystal beryl0.3172305520.38562575', 'O cherry blossom0.4046063720.566762865', 'KWZ turquoise 0.1805804220.160459518', 'Noodlers Firefly0.09293186660.105642691']"
2.96929135346e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'Mv Caribbean 0.2212766260.22019729', 'Platinum Violet20.3747718040.517571867']"
2.96888478776e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'O blue iris0.419206470.58768481', 'Bleu pervenche h0.2390092020.232792825']"
2.96803909062e-05,"['Lamy red0.3185556230.394874483', 'Rose cyclamen H0.3078682120.344650418', 'Kaweco green0.04393515740.0426193513', 'Colorberse 7 clear cyan0.4473693970.585861981']"
2.9667386278e-05,"['Lamy red0.3185556230.394874483', 'I syo ro 0.1977095750.221133932', 'H Bleu Azur0.5106806760.636918247', 'Platinum violet0.3862266540.463573724']"
2.96390580257e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Pw denneweg groen 0.2931700650.338017762', 'O cherry blossom0.4046063720.566762865', 'Peach haze D0.1002408790.106591292']"
